Date,Time,NY-15,Scada
05-06-2021,10:00:00,0.0,-331.97
05-06-2021,10:15:00,0.0,-313.26
05-06-2021,10:30:00,0.0,-317.24
05-06-2021,10:45:00,0.0,-326.88
05-06-2021,11:00:00,0.0,-326.07
05-06-2021,11:15:00,0.0,-318.83
05-06-2021,11:30:00,0.0,-327.59
05-06-2021,11:45:00,0.0,-328.85
05-06-2021,12:00:00,0.0,-348.26
05-06-2021,12:15:00,0.0,-358.53
05-06-2021,12:30:00,0.0,-357.54
05-06-2021,12:45:00,0.0,-359.35
05-06-2021,13:00:00,0.0,-356.28
05-06-2021,13:15:00,0.0,-341.85
05-06-2021,13:30:00,0.0,-341.3
05-06-2021,13:45:00,0.0,-367.78
05-06-2021,14:00:00,0.0,-386.67
05-06-2021,14:15:00,0.0,-382.11
05-06-2021,14:30:00,0.0,-386.76
05-06-2021,14:45:00,0.0,-360.72
05-06-2021,15:00:00,0.0,-340.58
05-06-2021,15:15:00,0.0,-322.17
05-06-2021,15:30:00,0.0,-323.68
05-06-2021,15:45:00,0.0,-323.3
05-06-2021,16:00:00,0.0,-306.66
05-06-2021,16:15:00,0.0,-287.93
05-06-2021,16:30:00,0.0,-289.7
05-06-2021,16:45:00,0.0,-310.54
05-06-2021,17:00:00,0.0,-312.17
05-06-2021,17:15:00,0.0,-319.14
05-06-2021,17:30:00,0.0,-298.34
05-06-2021,17:45:00,0.0,-254.89
05-06-2021,18:00:00,0.0,-276.79
05-06-2021,18:15:00,0.0,-302.63
05-06-2021,18:30:00,0.0,-275.38
05-06-2021,18:45:00,0.0,-244.13
05-06-2021,19:00:00,0.0,-248.78
05-06-2021,19:15:00,0.0,-261.92
05-06-2021,19:30:00,0.0,-256.08
05-06-2021,19:45:00,0.0,-285.87
05-06-2021,20:00:00,0.0,-306.48
05-06-2021,20:15:00,0.0,-326.21
05-06-2021,20:30:00,0.0,-342.82
05-06-2021,20:45:00,0.0,-342.33
05-06-2021,21:00:00,0.0,-356.19
05-06-2021,21:15:00,0.0,-362.0
05-06-2021,21:30:00,0.0,-366.44
05-06-2021,21:45:00,0.0,-352.43
05-06-2021,22:00:00,0.0,-352.52
05-06-2021,22:15:00,0.0,-347.8
05-06-2021,22:30:00,0.0,-341.3
05-06-2021,22:45:00,0.0,-335.98
05-06-2021,23:00:00,0.0,-334.32
05-06-2021,23:15:00,0.0,-327.99
05-06-2021,23:30:00,0.0,-323.32
05-06-2021,23:45:00,0.0,-328.34
06-06-2021,00:00:00,0.0,-328.98
06-06-2021,00:15:00,0.0,-349.09
06-06-2021,00:30:00,0.0,-348.14
06-06-2021,00:45:00,0.0,-350.03
06-06-2021,01:00:00,0.0,-347.48
06-06-2021,01:15:00,0.0,-337.48
06-06-2021,01:30:00,0.0,-334.56
06-06-2021,01:45:00,0.0,-317.4
06-06-2021,02:00:00,0.0,-311.59
06-06-2021,02:15:00,0.0,-315.03
06-06-2021,02:30:00,0.0,-307.97
06-06-2021,02:45:00,0.0,-309.3
06-06-2021,03:00:00,0.0,-307.1
06-06-2021,03:15:00,0.0,-319.73
06-06-2021,03:30:00,0.0,-320.39
06-06-2021,03:45:00,0.0,-317.71
06-06-2021,04:00:00,0.0,-317.02
06-06-2021,04:15:00,0.0,-307.24
06-06-2021,04:30:00,0.0,-309.59
06-06-2021,04:45:00,0.0,-309.22
06-06-2021,05:00:00,0.0,-282.79
06-06-2021,05:15:00,0.0,-238.68
06-06-2021,05:30:00,0.0,-235.65
06-06-2021,05:45:00,0.0,-223.16
06-06-2021,06:00:00,0.0,-206.88
06-06-2021,06:15:00,0.0,-183.48
06-06-2021,06:30:00,0.0,-183.99
06-06-2021,06:45:00,0.0,-173.62
06-06-2021,07:00:00,0.0,-165.57
06-06-2021,07:15:00,0.0,-166.98
06-06-2021,07:30:00,0.0,-179.18
06-06-2021,07:45:00,0.0,-191.54
06-06-2021,08:00:00,0.0,-199.45
06-06-2021,08:15:00,0.0,-227.55
06-06-2021,08:30:00,0.0,-253.91
06-06-2021,08:45:00,0.0,-273.52
06-06-2021,09:00:00,0.0,-306.38
06-06-2021,09:15:00,0.0,-322.68
06-06-2021,09:30:00,0.0,-328.92
06-06-2021,09:45:00,0.0,-324.79
06-06-2021,10:00:00,0.0,-344.52
06-06-2021,10:15:00,0.0,-358.77
06-06-2021,10:30:00,0.0,-374.67
06-06-2021,10:45:00,0.0,-379.86
06-06-2021,11:00:00,0.0,-384.15
06-06-2021,11:15:00,0.0,-386.93
06-06-2021,11:30:00,0.0,-383.12
06-06-2021,11:45:00,0.0,-383.18
06-06-2021,12:00:00,0.0,-395.84
06-06-2021,12:15:00,0.0,-377.71
06-06-2021,12:30:00,0.0,-373.31
06-06-2021,12:45:00,0.0,-369.3
06-06-2021,13:00:00,0.0,-365.96
06-06-2021,13:15:00,0.0,-372.38
06-06-2021,13:30:00,0.0,-383.71
06-06-2021,13:45:00,0.0,-394.07
