Date,Time,NU-06,Scada
06-06-2021,13:45:00,0.0,58.8
06-06-2021,14:00:00,0.0,56.67
06-06-2021,14:15:00,0.0,55.44
06-06-2021,14:30:00,0.0,54.54
06-06-2021,14:45:00,0.0,51.41
06-06-2021,15:00:00,0.0,50.02
06-06-2021,15:15:00,0.0,49.11
06-06-2021,15:30:00,0.0,48.33
06-06-2021,15:45:00,0.0,46.63
06-06-2021,16:00:00,0.0,42.62
06-06-2021,16:15:00,0.0,38.83
06-06-2021,16:30:00,0.0,37.71
06-06-2021,16:45:00,0.0,35.52
06-06-2021,17:00:00,0.0,32.89
06-06-2021,17:15:00,0.0,31.93
06-06-2021,17:30:00,0.0,30.9
06-06-2021,17:45:00,0.0,31.36
06-06-2021,18:00:00,0.0,33.38
06-06-2021,18:15:00,0.0,36.61
06-06-2021,18:30:00,0.0,38.26
06-06-2021,18:45:00,0.0,44.78
06-06-2021,19:00:00,0.0,51.51
06-06-2021,19:15:00,0.0,57.11
06-06-2021,19:30:00,0.0,60.77
06-06-2021,19:45:00,0.0,63.01
06-06-2021,20:00:00,0.0,63.61
06-06-2021,20:15:00,0.0,63.92
06-06-2021,20:30:00,0.0,61.1
06-06-2021,20:45:00,0.0,61.55
06-06-2021,21:00:00,0.0,64.96
06-06-2021,21:15:00,0.0,66.1
